onset,rime,vq,F0,gender,group,df1,df2,choice,RT,pcp
f,a,creaky,5,male,G4,p>f,6,1,1560,718382
sh,a,modal,-2,male,G1,p<f,-1,0,1433,718382
sh,a,modal,-6,male,G1,p<f,-5,0,1586,718382
sh,a,modal,4,male,G2,p>f,5,1,1580,718382
sh,a,creaky,-5,male,G3,p<f,-4,0,1952,718382
z,ao,modal,-5,male,G1,p<f,-4,0,1812,718382
z,ao,modal,-7,male,G1,p<f,-6,0,1539,718382
z,ao,creaky,-6,male,G3,p<f,-5,0,1915,718382
z,ao,creaky,2,male,G4,p>f,3,0,1580,718382
zh,ao,modal,0,male,G2,p>f,1,0,1637,718382
zh,ao,modal,3,male,G2,p>f,4,1,1669,718382
zh,ao,creaky,0,male,G4,p>f,1,0,1812,718382
zh,ao,creaky,1,male,G4,p>f,2,0,1592,718382
b,ao,modal,15,female,G2,p>f,6,1,1641,718382
b,ao,modal,3,female,G1,p<f,-6,0,1620,718382
b,ao,creaky,12,female,G4,p>f,3,0,2074,718382
b,ao,creaky,5,female,G3,p<f,-4,0,1352,718382
d,ao,modal,13,female,G2,p>f,4,1,2144,718382
d,ao,modal,6,female,G1,p<f,-3,0,1552,718382
d,ao,creaky,15,female,G4,p>f,6,1,2070,718382
d,ao,creaky,7,female,G3,p<f,-2,0,1622,718382
f,a,modal,10,female,G2,p>f,1,0,1925,718382
f,a,modal,14,female,G2,p>f,5,1,1546,718382
f,a,creaky,10,female,G4,p>f,1,0,1350,718382
f,a,creaky,6,female,G3,p<f,-3,0,1694,718382
sh,a,modal,12,female,G2,p>f,3,0,1652,718382
sh,a,modal,5,female,G1,p<f,-4,0,1425,718382
sh,a,creaky,4,female,G3,p<f,-5,0,1253,718382
sh,a,creaky,8,female,G3,p<f,-1,0,1286,718382
z,ao,modal,11,female,G2,p>f,2,0,2940,718382
z,ao,modal,7,female,G1,p<f,-2,0,2765,718382
z,ao,modal,8,female,G1,p<f,-1,0,1869,718382
z,ao,creaky,3,female,G3,p<f,-6,0,1699,718382
zh,ao,modal,4,female,G1,p<f,-5,0,1471,718382
zh,ao,creaky,11,female,G4,p>f,2,0,1566,718382
zh,ao,creaky,13,female,G4,p>f,4,0,2189,718382
zh,ao,creaky,14,female,G4,p>f,5,1,2229,718382
b,ao,modal,-4,male,G1,p<f,-3,0,1072,718382
b,ao,modal,-6,male,G1,p<f,-5,0,1322,718382
b,ao,modal,-7,male,G1,p<f,-6,0,1447,718382
b,ao,creaky,0,male,G4,p>f,1,0,1454,718382
d,ao,modal,3,male,G2,p>f,4,1,2007,718382
d,ao,modal,4,male,G2,p>f,5,1,2090,718382
d,ao,creaky,-3,male,G3,p<f,-2,0,1088,718382
d,ao,creaky,4,male,G4,p>f,5,0,2732,718382
f,a,modal,-5,male,G1,p<f,-4,0,2138,718382
f,a,modal,0,male,G2,p>f,1,0,1270,718382
f,a,modal,2,male,G2,p>f,3,0,1530,718382
f,a,creaky,-5,male,G3,p<f,-4,0,2060,718382
sh,a,creaky,-6,male,G3,p<f,-5,0,1545,718382
sh,a,creaky,-7,male,G3,p<f,-6,0,1336,718382
sh,a,creaky,2,male,G4,p>f,3,0,2171,718382
sh,a,creaky,5,male,G4,p>f,6,1,2192,718382
z,ao,modal,-2,male,G1,p<f,-1,0,1412,718382
z,ao,creaky,-4,male,G3,p<f,-3,0,2034,718382
z,ao,creaky,1,male,G4,p>f,2,0,1324,718382
z,ao,creaky,3,male,G4,p>f,4,0,1688,718382
zh,ao,modal,-3,male,G1,p<f,-2,0,1347,718382
zh,ao,modal,1,male,G2,p>f,2,0,1476,718382
zh,ao,modal,5,male,G2,p>f,6,1,1597,718382
zh,ao,creaky,-2,male,G3,p<f,-1,0,1659,718382
b,ao,modal,10,female,G2,p>f,1,0,1672,718382
b,ao,modal,14,female,G2,p>f,5,1,1725,718382
b,ao,modal,5,female,G1,p<f,-4,0,1839,718382
b,ao,creaky,15,female,G4,p>f,6,1,2031,718382
d,ao,modal,3,female,G1,p<f,-6,0,1605,718382
d,ao,modal,7,female,G1,p<f,-2,0,1216,718382
d,ao,creaky,3,female,G3,p<f,-6,0,1536,718382
d,ao,creaky,8,female,G3,p<f,-1,0,1635,718382
f,a,modal,11,female,G2,p>f,2,0,1371,718382
f,a,creaky,14,female,G4,p>f,5,1,1664,718382
f,a,creaky,4,female,G3,p<f,-5,0,2451,718382
f,a,creaky,7,female,G3,p<f,-2,0,1653,718382
sh,a,modal,6,female,G1,p<f,-3,0,1454,718382
sh,a,modal,8,female,G1,p<f,-1,0,1472,718382
sh,a,creaky,10,female,G4,p>f,1,0,1220,718382
sh,a,creaky,11,female,G4,p>f,2,0,1960,718382
z,ao,modal,12,female,G2,p>f,3,0,1920,718382
z,ao,modal,15,female,G2,p>f,6,1,1993,718382
z,ao,modal,4,female,G1,p<f,-5,0,2209,718382
z,ao,creaky,13,female,G4,p>f,4,1,2309,718382
zh,ao,modal,13,female,G2,p>f,4,1,1981,718382
zh,ao,creaky,12,female,G4,p>f,3,0,1519,718382
zh,ao,creaky,5,female,G3,p<f,-4,0,1737,718382
zh,ao,creaky,6,female,G3,p<f,-3,0,1102,718382
b,ao,modal,0,male,G2,p>f,1,0,1655,718382
b,ao,creaky,-5,male,G3,p<f,-4,0,1642,718382
b,ao,creaky,-6,male,G3,p<f,-5,0,1818,718382
b,ao,creaky,4,male,G4,p>f,5,1,2602,718382
d,ao,modal,-2,male,G1,p<f,-1,0,1282,718382
d,ao,creaky,-2,male,G3,p<f,-1,0,2089,718382
d,ao,creaky,-4,male,G3,p<f,-3,0,1445,718382
d,ao,creaky,5,male,G4,p>f,6,1,1874,718382
f,a,modal,-6,male,G1,p<f,-5,0,1337,718382
f,a,creaky,-7,male,G3,p<f,-6,0,2576,718382
f,a,creaky,0,male,G4,p>f,1,0,1872,718382
f,a,creaky,1,male,G4,p>f,2,0,1921,718382
sh,a,modal,1,male,G2,p>f,2,0,1570,718382
sh,a,modal,2,male,G2,p>f,3,0,1587,718382
sh,a,modal,5,male,G2,p>f,6,1,1682,718382
sh,a,creaky,3,male,G4,p>f,4,1,2189,718382
z,ao,modal,-3,male,G1,p<f,-2,0,1206,718382
z,ao,modal,-4,male,G1,p<f,-3,0,1693,718382
z,ao,modal,3,male,G2,p>f,4,1,1824,718382
z,ao,modal,4,male,G2,p>f,5,1,1783,718382
zh,ao,modal,-5,male,G1,p<f,-4,0,1162,718382
zh,ao,modal,-7,male,G1,p<f,-6,0,1310,718382
zh,ao,creaky,-3,male,G3,p<f,-2,0,1338,718382
zh,ao,creaky,2,male,G4,p>f,3,0,2926,718382
b,ao,modal,4,female,G1,p<f,-5,0,1602,718382
